UPS Next Day Air® -- Origin Alaska,,,
Daily Rates,,,
"EFFECTIVE JANUARY 2, 2006",,,
Rates do not include a fuel surcharge.,,,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,,,

Weight Not To Exceed,Zone 22,Zone 24,Zone 26

Letter,$15.25 ,$17.25 ,$23.25 
1,$21.00 ,$27.25 ,$38.25 
2,$23.75 ,$30.00 ,$41.25 
3,$26.25 ,$32.50 ,$43.75 
4,$28.25 ,$35.50 ,$46.50 
5,$30.25 ,$38.00 ,$49.00 
6,$32.25 ,$40.75 ,$51.75 
7,$34.50 ,$43.25 ,$54.50 
8,$36.75 ,$45.75 ,$56.75 
9,$38.50 ,$48.00 ,$59.25 
10,$40.50 ,$50.50 ,$61.75 
11,$42.50 ,$52.75 ,$64.25 
12,$44.50 ,$55.00 ,$66.25 
13,$46.50 ,$57.25 ,$68.25 
14,$48.25 ,$59.75 ,$70.50 
15,$50.50 ,$62.00 ,$72.75 
16,$52.25 ,$64.25 ,$75.25 
17,$54.00 ,$66.00 ,$77.25 
18,$55.50 ,$67.75 ,$79.25 
19,$56.75 ,$69.75 ,$80.75 
20,$58.25 ,$71.75 ,$83.00 
21,$60.00 ,$73.75 ,$84.75 
22,$61.75 ,$75.50 ,$86.50 
23,$63.50 ,$77.00 ,$88.25 
24,$65.25 ,$78.75 ,$89.75 
25,$66.50 ,$80.25 ,$91.50 
26,$68.00 ,$82.25 ,$93.50 
27,$69.50 ,$84.25 ,$95.25 
28,$70.75 ,$86.00 ,$97.25 
29,$72.50 ,$88.25 ,$99.25 
30,$74.00 ,$90.25 ,$101.75 
31,$75.50 ,$92.75 ,$103.75 
32,$77.00 ,$94.50 ,$105.50 
33,$78.50 ,$96.25 ,$107.50 
34,$80.25 ,$98.50 ,$109.75 
35,$81.75 ,$100.75 ,$112.00 
36,$83.50 ,$103.25 ,$114.25 
37,$85.00 ,$105.25 ,$116.50 
38,$86.25 ,$107.50 ,$118.75 
39,$88.00 ,$110.00 ,$121.25 
40,$89.50 ,$112.50 ,$123.25 
41,$91.50 ,$114.50 ,$125.50 
42,$93.25 ,$116.75 ,$127.50 
43,$94.75 ,$118.25 ,$130.00 
44,$96.25 ,$119.75 ,$132.00 
45,$98.50 ,$121.75 ,$134.00 
46,$100.25 ,$123.50 ,$136.25 
47,$102.00 ,$125.00 ,$138.25 
48,$103.50 ,$126.25 ,$140.25 
49,$105.00 ,$128.25 ,$142.00 
50,$107.00 ,$130.25 ,$144.25 
51,$108.75 ,$132.25 ,$146.25 
52,$110.50 ,$134.25 ,$148.50 
53,$112.25 ,$137.25 ,$150.75 
54,$113.75 ,$140.25 ,$153.00 
55,$115.50 ,$143.00 ,$155.50 
56,$117.50 ,$146.25 ,$158.00 
57,$119.25 ,$149.75 ,$160.75 
58,$121.25 ,$152.25 ,$163.50 
59,$123.00 ,$155.00 ,$166.00 
60,$125.00 ,$157.75 ,$169.25 
61,$127.00 ,$160.75 ,$172.00 
62,$129.25 ,$163.75 ,$175.00 
63,$132.00 ,$166.75 ,$178.25 
64,$134.25 ,$169.50 ,$181.00 
65,$136.50 ,$172.00 ,$183.75 
66,$138.75 ,$175.25 ,$186.75 
67,$141.25 ,$178.50 ,$189.50 
68,$143.50 ,$181.25 ,$192.50 
69,$146.00 ,$184.00 ,$195.50 
70,$148.50 ,$187.00 ,$198.75 
71,$151.00 ,$189.75 ,$201.75 
72,$153.00 ,$192.75 ,$204.25 
73,$155.50 ,$195.50 ,$207.25 
74,$157.75 ,$198.50 ,$210.00 
75,$160.25 ,$201.50 ,$212.75 
76,$162.75 ,$204.25 ,$215.75 
77,$165.25 ,$207.25 ,$218.25 
78,$167.50 ,$209.75 ,$221.00 
79,$170.00 ,$212.50 ,$223.75 
80,$172.50 ,$215.75 ,$226.75 
81,$174.50 ,$218.25 ,$229.75 
82,$177.25 ,$221.00 ,$232.50 
83,$179.50 ,$223.75 ,$235.50 
84,$182.00 ,$226.50 ,$238.00 
85,$184.25 ,$229.25 ,$240.75 
86,$186.75 ,$232.00 ,$243.75 
87,$188.75 ,$235.00 ,$246.25 
88,$190.75 ,$237.50 ,$248.75 
89,$193.00 ,$240.50 ,$251.25 
90,$195.50 ,$243.75 ,$254.50 
91,$198.25 ,$246.50 ,$257.50 
92,$200.50 ,$249.25 ,$260.00 
93,$203.00 ,$251.75 ,$263.00 
94,$205.25 ,$254.75 ,$265.50 
95,$207.75 ,$257.75 ,$268.50 
96,$210.00 ,$260.50 ,$272.00 
97,$212.25 ,$263.50 ,$275.00 
98,$214.50 ,$266.00 ,$278.00 
99,$217.00 ,$268.75 ,$280.50 
100,$219.75 ,$271.00 ,$283.00 
101,$222.00 ,$273.75 ,$285.00 
102,$224.50 ,$276.00 ,$287.50 
103,$226.50 ,$278.50 ,$289.75 
104,$228.75 ,$281.25 ,$292.50 
105,$231.25 ,$283.75 ,$295.00 
106,$234.00 ,$286.50 ,$297.75 
107,$236.25 ,$288.75 ,$300.50 
108,$238.75 ,$291.75 ,$303.00 
109,$241.00 ,$294.25 ,$305.75 
110,$243.75 ,$297.00 ,$308.25 
111,$246.00 ,$300.00 ,$311.00 
112,$248.50 ,$302.75 ,$313.50 
113,$250.50 ,$305.75 ,$316.00 
114,$253.25 ,$308.00 ,$318.50 
115,$255.50 ,$311.00 ,$321.25 
116,$257.75 ,$313.75 ,$323.75 
117,$259.75 ,$316.50 ,$326.25 
118,$262.50 ,$319.50 ,$329.25 
119,$264.75 ,$322.00 ,$331.75 
120,$267.25 ,$324.75 ,$334.50 
121,$269.25 ,$327.50 ,$337.25 
122,$271.75 ,$330.25 ,$340.00 
123,$273.75 ,$332.50 ,$342.75 
124,$276.00 ,$335.25 ,$345.50 
125,$278.50 ,$338.50 ,$348.75 
126,$281.25 ,$341.00 ,$351.50 
127,$283.50 ,$343.50 ,$354.50 
128,$285.50 ,$345.75 ,$357.25 
129,$287.50 ,$348.75 ,$359.75 
130,$289.25 ,$351.25 ,$362.50 
131,$291.75 ,$354.00 ,$364.75 
132,$293.75 ,$357.00 ,$367.75 
133,$296.00 ,$359.50 ,$370.25 
134,$297.75 ,$362.50 ,$373.00 
135,$300.00 ,$365.00 ,$376.00 
136,$302.00 ,$367.75 ,$378.75 
137,$304.00 ,$370.25 ,$381.75 
138,$306.25 ,$373.25 ,$384.25 
139,$308.25 ,$376.00 ,$387.00 
140,$310.50 ,$378.25 ,$389.25 
141,$312.50 ,$381.00 ,$392.25 
142,$314.75 ,$383.50 ,$395.00 
143,$316.75 ,$386.50 ,$397.50 
144,$319.00 ,$389.00 ,$400.50 
145,$321.00 ,$392.00 ,$403.25 
146,$323.00 ,$394.75 ,$406.25 
147,$325.25 ,$397.50 ,$409.25 
148,$327.25 ,$400.50 ,$412.00 
149,$329.50 ,$403.25 ,$415.00 
150,$331.50 ,$406.25 ,$417.75 
Multiplier,$2.22 ,$2.72 ,$2.80 
