Worldwide Zone Chart for Shipments Originating in the U.S.,,,,,,
"EFFECTIVE JANUARY 5, 2004",,,,,,
"UPS Worldwide Express Plus, Express and Expedited",,,,,,

To determine the zone take the receiver's Country and refer to the chart below:,,,,,,
Extended Area Surcharge may apply to indicated countries.,,,,,,

Destination,UPS Worldwide,UPS Worldwide,UPS Worldwide,UPS Worldwide,UPS Worldwide,Extended Area
Country,ExpressPlusSM,ExpressSM_WC,ExpressSM_EC,ExpeditedSM_WC,ExpeditedSM_EC,Surcharge
,,,Originating from,Originating from,Originating from,
,,,Dade and Broward ,Western U.S.,Eastern U.S.,
,,,Counties Florida,,,

Albania,,907,907,,,
Algeria,,907,907,,,
American Samoa,,907,907,,,
Andorra,,907,907,607,603,
Angola,,908,908,,,
Anguilla,,902,900,,,
Antigua and Barbuda,,902,900,,,
Argentina,,906,900,610,609,Y
Armenia,,907,907,,,Y
Aruba,,902,900,,,
Australia,,904,904,608,604,Y
Austria,903,903,903,607,603,Y
Azerbajan,,907,907,,,
Azores (Portugal),,903,903,,,Y
Bahamas,,902,900,,,Y
Bahrain,,905,905,,,
Bangladesh,,905,905,,,Y
Barbados,,902,900,,,
Belarus,,907,907,,,Y
Belgium,901,901,901,605,601,
Belize,,906,900,,,
Benin,,908,908,,,
Bermuda,,902,900,,,
Bhutan,,905,905,,,
Bolivia,,906,900,,,Y
Bonaire (Netherlands Antillies),,902,900,,,
Bosnia,,907,907,,,
Botswana,,908,908,,,
Brazil,,906,900,610,609,Y
British Virgin Islands,,902,900,,,
Brunei,,905,905,,,Y
Bulgaria,,907,907,,,Y
Burkina Faso,,908,908,,,
Burundi,,908,908,,,
Cambodia,,907,907,,,Y
Cameroon,,908,908,,,
Canary Islands,,903,903,,,
Cape Verde,,908,908,,,
Cayman Islands,,902,900,,,
Central African Republic,,908,908,,,
Chad,,908,908,,,
Channel Islands,,903,903,607,603,
Chile,,906,900,610,609,Y
China - People's Republic of,,904,904,608,604,Y
Colombia,,906,900,610,609,Y
Congo - Democratic Republic of,,908,908,,,
Congo - Republic of,,908,908,,,
Cook Islands,,907,907,,,
Costa Rica,,906,900,610,609,
Cote D'Ivoire (Ivory Coast),,908,908,,,
Croatia,,907,907,,,Y
Curacao (Netherlands Antillies),,902,900,,,
Cyprus,,905,905,,,
Czech Republic,,907,907,610,609,Y
Denmark,903,903,903,607,603,Y
Djibouti,,908,908,,,
Dominica,,902,900,,,
Dominican Republic,,902,900,606,602,Y
East Timor,,905,905,,,
Ecuador,,906,900,610,609,Y
Egypt,,905,905,,,
El Salvador,,906,900,610,609,
England,901,901,901,605,601,Y
Equatorial Guniea,,908,908,,,
Eritrea,,908,908,,,
Estonia,,907,907,610,609,
Ethiopia,,908,908,,,
Faroe Islands (Denmark),,903,903,,,Y
Fiji,,907,907,,,
Finland,,903,903,607,603,Y
France,901,901,901,605,601,Y
French Guiana,,906,900,,,
French Polynesia,,907,907,,,
Gabon,,908,908,,,
Gambia,,908,908,,,
Georgia,,907,907,,,Y
Germany,901,901,901,605,601,Y
Ghana,,908,908,,,
Gibraltar,,907,907,,,
Greece,,903,903,607,603,Y
Greenland (Denmark),,903,903,,,Y
Grenada,,902,900,,,
Guadeloupe,,902,900,,,
Guam,,904,904,,,
Guatemala,,906,900,610,609,Y
Guinea,,908,908,,,
Guinea-Bissau,,908,908,,,
Guyana,,906,900,,,Y
Haiti,,902,900,,,Y
Holland (Netherlands),901,901,901,605,601,Y
Honduras,,906,900,610,609,Y
Hong Kong,,901,901,606,602,
Hungary,,907,907,610,609,Y
Iceland,,903,903,,,
India,,905,905,608,604,Y
Indonesia,,904,904,608,604,Y
Iraq,,905,905,,,
Ireland - Republic Of,901,901,901,605,601,
Israel,,905,905,,,
Italy,901,901,901,605,601,Y
Ivory Coast (Cote d'Ivoire),,908,908,,,
Jamaica,,902,900,,,Y
Japan,,901,901,606,602,Y
Jordan,,905,905,,,
Kazakhstan,,907,907,,,Y
Kenya,,908,908,,,
Kiribati,,907,907,,,
Korea (South Korea),,904,904,608,604,
Kosrae (Federated States of Micronesia),,907,907,,,
Kuwait,,905,905,,,
Kyrgyzstan,,907,907,,,
Laos,,907,907,,,
Latvia,,907,907,610,609,
Lebanon,,905,905,,,
Lesotho,,908,908,,,
Liberia,,908,908,,,
Liechtenstein,,903,903,607,603,
Lithuania,,907,907,610,609,
Luxembourg,901,901,901,605,601,
Macau,,901,901,606,602,
Macedonia,,907,907,,,
Madagascar,,908,908,,,
Maderia (Portugal),,903,903,,,Y
Malawi,,908,908,,,
Malaysia,,904,904,608,604,Y
Maldives,,907,907,,,
Mali,,908,908,,,
Malta,,907,907,,,
Marshall Islands,,907,907,,,
Martinique,,902,900,,,
Mauritania,,908,908,,,
Mauritius,,908,908,,,
Mexico,,84,80,74,74,Y
Micronesia - Federated States of,,907,907,,,
Moldova,,907,907,,,Y
Monaco,,901,901,605,601,
Mongolia,,904,904,,,
Montserrat,,902,900,,,
Morocco,,907,907,,,
Mozambique,,908,908,,,
Namibia,,908,908,,,
Nepal,,905,905,,,Y
Netherlands (Holland),901,901,901,605,601,Y
Netherlands Antilles,,902,900,,,
New Caledonia,,907,907,,,
New Zealand,,904,904,,,Y
Nicaragua,,906,900,610,609,
Niger,,908,908,,,
Nigeria,,908,908,,,
Norfolk Island,,907,907,,,
Northern Ireland (UK),,901,901,605,601,Y
Northern Mariana Islands,,907,907,,,Y
Norway,,903,903,607,603,Y
Oman,,905,905,,,
Pakistan,,905,905,,,Y
Palau,,907,907,,,
Panama,,906,900,610,609,Y
Papua New Guinea,,907,907,,,
Paraguay,,906,900,,,Y
Peru,,906,900,610,609,Y
Philippines,,904,904,608,604,Y
Poland,,907,907,610,609,Y
Ponape (Federated States of Micronesia+A193),,907,907,,,
Portugal,903,903,903,607,603,Y
Qatar,,905,905,,,
Reunion,,908,908,,,
Romania,,907,907,,,Y
Rota (Northern Mariana Islands),,907,907,,,Y
Russia,,907,907,,,Y
Rwanda,,908,908,,,
Saba (Netherlands Antilles),,902,900,,,
Saipan (Northern Mariana Islands),,907,907,,,
San Marino,,901,901,605,601,
Saudi Arabia,,905,905,,,
Scotland (United Kingdom),,901,901,605,601,Y
Senegal,,908,908,,,
Seychelles,,908,908,,,
Sierra Leone,,908,908,,,
Singapore,,901,901,606,602,Y
Slovakia,,907,907,610,609,Y
Slovenia,,907,907,610,609,
Solomon Islands,,907,907,,,
South Africa,,908,908,,,
Spain,903,903,903,607,603,Y
Sri Lanka,,905,905,,,Y
St. Barthelemy (Guadeloupe),,902,900,,,
St. Christopher (St. Kitts and Nevis),,902,900,,,
St. Croix (U.S. Virgin Islands),,902,900,,,
St. Eustatius (Netherlands Antilles),,902,900,,,
St. John (U.S. Virgin Islands),,902,900,,,
St. Kitts and Nevis,,902,900,,,
St. Lucia,,902,900,,,
St. Maarten (Netherlands Antilles),,902,900,,,
St. Martin (Guadeloupe),,902,900,,,
St. Thomas (U.S. Virgin Islands),,902,900,,,
St. Vincent and the Grenadines,,902,900,,,
Suriname,,906,900,,,
Swaziland,,908,908,,,
Sweden,903,903,903,607,603,Y
Switzerland,903,903,903,607,603,
Syria,,905,905,,,
Tahiti (French Polynesia),,907,907,,,
Taiwan,,901,901,606,602,Y
Tajikistan,,907,907,,,Y
Tanzania,,908,908,,,
Thailand,,904,904,608,604,Y
Tinian (Northern Mariana Islands),,907,907,,,Y
Togo,,908,908,,,
Tonga,,907,907,,,
Tortola (British Virgin Islands),,902,900,,,
Trinidad and Tobago,,902,900,,,Y
Truk (Federated States of Micronesia),,907,907,,,
Tunisia,,907,907,,,
Turkey,,905,905,607,603,Y
Turkmenistan,,907,907,,,
Turks and Caicos Islands,,902,900,,,
Tuvalu,,907,907,,,
Uganda,,908,908,,,
Ukraine,,907,907,,,Y
Union Island (St. Vincent and the Grenadines),,902,900,,,
United Arab Emirates,,905,905,,,
United Kingdom,901,901,901,605,601,Y
Uruguay,,906,900,,,Y
U.S. Virgin Islands,,902,900,,,
Uzbekistan,,907,907,,,
Vanuatu,,907,907,,,
Venezuela,,906,900,610,609,Y
Vietnam,,904,904,,,Y
Virgin Gorda (British Virgin Islands),,902,900,,,
Wales (United Kingdom),,901,901,605,601,Y
Wallis and Futuna Islands,,907,907,,,
Western Samoa,,907,907,,,
Yap (Federated States of Micronesia),,907,907,,,
Yemen,,905,905,,,
Yugoslavia,,907,907,,,
Zaire (Democratic Republic of the Congo),,908,908,,,
Zambia,,908,908,,,
Zimbabwe,,908,908,,,

For shipments from Eastern U.S. in the following states:,,,,,,
"Alabama, Connecticut, Delaware, District of Columbia, Florida,",,,,,,
"Georgia, Illinois, Indiana, Iowa, Kentucky, Maine, Maryland, Massachusetts, Michigan, Missouri,",,,,,,
"New Hampshire, New Jersey, New York, North Carolina, Ohio, Pennsylvania, Rhode Island,",,,,,,
"South Carolina, Tennessee, Vermont, Virginia, West Virginia and Wisconsin."

For shipments from Western U.S. in the following states: 
"Alaska, Arizona, Arkansas, California, Colorado, Hawaii, Idaho, Kansas, Louisiana, Minnesota, Mississippi, Montana,"
"Nebraska, Nevada, New Mexico, North Dakota, Oklahoma, Oregon, South Dakota, Texas, Utah, Washington and Wyoming."
